time_s;steps;displacement_mm;force_raw;force_N;accel_x;accel_y;accel_z;endstop;step_loss
4561.157;1;0.0050;3927;0.871;-1;125;-27;1;0
4561.257;1;0.0050;4622;1.025;-1;125;-27;1;0
4561.357;2;0.0100;3036;0.673;0;124;-27;1;0
4561.457;2;0.0100;2896;0.642;-1;124;-28;1;0
4561.557;3;0.0150;3017;0.669;-1;125;-28;1;0
4561.657;4;0.0200;4699;1.042;0;125;-27;1;0
4561.757;4;0.0200;8039;1.782;-1;125;-27;1;0
4561.857;5;0.0250;8919;1.977;-2;124;-28;1;0
4561.957;6;0.0300;9096;2.017;-1;124;-27;1;0
4562.057;6;0.0300;10171;2.255;-1;125;-27;1;0
4562.157;7;0.0350;11304;2.506;-1;124;-28;1;0
4562.257;8;0.0400;14107;3.128;0;125;-28;1;0
4562.357;8;0.0400;14264;3.162;-1;125;-27;1;0
4562.457;9;0.0450;14742;3.268;-1;124;-27;1;0
4562.557;10;0.0500;14141;3.135;-1;124;-28;1;0
4562.657;10;0.0500;15325;3.398;-1;125;-29;1;0
4562.757;11;0.0550;16718;3.706;-1;124;-28;1;0
4562.857;12;0.0600;16709;3.704;-1;125;-27;1;0
4562.957;12;0.0600;15718;3.485;-1;124;-28;1;0
4563.057;13;0.0650;16109;3.571;-1;124;-27;1;0
4563.158;14;0.0700;17493;3.878;-1;125;-27;1;0
4563.258;14;0.0700;18679;4.141;-1;125;-29;1;0
4563.358;15;0.0750;20602;4.567;-1;125;-27;1;0
4563.458;16;0.0800;21409;4.746;-1;124;-27;1;0
4563.558;16;0.0800;22119;4.904;-1;125;-27;1;0
4563.658;17;0.0850;22914;5.080;-1;125;-27;1;0
4563.758;18;0.0900;22997;5.098;-1;124;-28;1;0
4563.858;18;0.0900;24075;5.337;0;124;-28;1;0
4563.958;19;0.0950;22497;4.988;-1;125;-27;1;0
4564.058;20;0.1000;23856;5.289;-1;125;-28;1;0
4564.158;20;0.1000;25458;5.644;-1;125;-28;1;0
4564.258;21;0.1050;25571;5.669;0;124;-29;1;0
4564.358;22;0.1100;26505;5.876;-1;125;-29;1;0
