time_s;steps;displacement_mm;force_raw;force_N;accel_x;accel_y;accel_z;endstop;step_loss
2286.785;1;0.0050;6361;1.410;-1;124;-26;1;0
2286.885;1;0.0050;5606;1.243;-1;125;-26;1;0
2286.985;2;0.0100;4561;1.011;-1;126;-26;1;0
2287.085;2;0.0100;5037;1.117;-1;125;-27;1;0
2287.185;3;0.0150;4954;1.098;-1;124;-25;1;0
2287.285;4;0.0200;6155;1.365;-2;124;-27;1;0
2287.385;4;0.0200;7601;1.685;-1;125;-25;1;0
2287.485;5;0.0250;7540;1.672;0;123;-26;1;0
2287.585;6;0.0300;8206;1.819;-1;124;-26;1;0
2287.685;6;0.0300;9210;2.042;0;125;-26;1;0
2287.785;7;0.0350;10398;2.305;-1;125;-26;1;0
2287.885;8;0.0400;12006;2.662;-1;125;-26;1;0
2287.985;8;0.0400;12897;2.859;-1;124;-28;1;0
2288.086;9;0.0450;13383;2.967;-1;125;-25;1;0
2288.186;10;0.0500;12643;2.803;0;124;-26;1;0
2288.286;10;0.0500;13960;3.095;-1;124;-26;1;0
2288.386;11;0.0550;13299;2.948;-1;125;-25;1;0
2288.486;12;0.0600;14299;3.170;-1;124;-27;1;0
2288.586;12;0.0600;14863;3.295;-1;125;-27;1;0
2288.686;13;0.0650;14642;3.246;-1;124;-27;1;0
2288.786;14;0.0700;16395;3.635;-1;125;-27;1;0
2288.886;14;0.0700;17737;3.932;-1;125;-26;1;0
2288.986;15;0.0750;18656;4.136;-1;125;-25;1;0
2289.086;16;0.0800;18441;4.088;-1;125;-25;1;0
2289.186;16;0.0800;17542;3.889;-1;125;-27;1;0
2289.286;17;0.0850;18031;3.997;-1;125;-28;1;0
2289.386;18;0.0900;21125;4.683;-1;125;-26;1;0
2289.486;18;0.0900;23747;5.265;-1;125;-26;1;0
2289.586;19;0.0950;24584;5.450;-1;126;-26;1;0
2289.686;20;0.1000;23597;5.231;-1;125;-26;1;0
2289.786;20;0.1000;25325;5.615;-1;125;-26;1;0
2289.886;21;0.1050;27712;6.144;-1;125;-28;1;0
2289.986;22;0.1100;30860;6.842;-1;125;-27;1;0
2290.086;22;0.1100;31418;6.965;-1;125;-26;1;0
2290.186;23;0.1150;32545;7.215;-1;125;-26;1;0
2290.286;24;0.1200;34003;7.538;-1;125;-26;1;0
2290.386;24;0.1200;34111;7.562;0;125;-26;1;0
2290.486;25;0.1250;34380;7.622;-1;125;-27;1;0
2290.586;26;0.1300;36977;8.198;-1;124;-28;1;0
2290.686;26;0.1300;39428;8.741;-2;125;-26;1;0
2290.786;27;0.1350;40922;9.072;0;125;-25;1;0
2290.886;28;0.1400;40216;8.916;-1;125;-26;1;0
2290.987;28;0.1400;39936;8.854;-1;124;-26;1;0
2291.087;29;0.1450;41407;9.180;-1;126;-25;1;0
2291.187;30;0.1500;43118;9.559;0;124;-26;1;0
2291.287;30;0.1500;46005;10.199;-1;125;-27;1;0
2291.387;31;0.1550;46952;10.409;-1;125;-27;1;0
2291.487;32;0.1600;47649;10.564;-1;125;-26;1;0
2291.587;32;0.1600;49260;10.921;-2;125;-26;1;0
2291.687;33;0.1650;50445;11.184;-1;125;-26;1;0
2291.787;34;0.1700;52782;11.702;-1;125;-26;1;0
2291.887;34;0.1700;54974;12.188;-1;124;-26;1;0
2291.987;35;0.1750;55118;12.220;-1;125;-26;1;0
2292.087;36;0.1800;59616;13.217;-1;125;-26;1;0
2292.187;36;0.1800;60641;13.444;0;125;-27;1;0
2292.287;37;0.1850;60188;13.344;-1;125;-26;1;0
2292.387;38;0.1900;60021;13.307;-1;124;-26;1;0
2292.487;38;0.1900;59936;13.288;-2;124;-26;1;0
2292.587;39;0.1950;62808;13.925;0;124;-26;1;0
2292.687;40;0.2000;63589;14.098;-1;125;-26;1;0
2292.787;40;0.2000;65252;14.466;-1;125;-27;1;0
2292.887;41;0.2050;67760;15.022;-2;125;-28;1;0
2292.987;42;0.2100;70221;15.568;-1;124;-27;1;0
2293.087;42;0.2100;70693;15.673;-1;125;-26;1;0
2293.187;43;0.2150;72556;16.086;-1;124;-26;1;0
2293.287;44;0.2200;74384;16.491;-1;125;-26;1;0
2293.387;44;0.2200;76408;16.940;-1;125;-26;1;0
2293.487;45;0.2250;76455;16.950;-1;125;-26;1;0
2293.587;46;0.2300;78344;17.369;-1;125;-25;1;0
2293.687;46;0.2300;81199;18.002;-1;124;-26;1;0
2293.787;47;0.2350;83350;18.479;-1;124;-26;1;0
2293.888;48;0.2400;84540;18.743;-1;125;-25;1;0
2293.988;48;0.2400;85910;19.046;-1;125;-26;1;0
2294.088;49;0.2450;88064;19.524;-1;125;-26;1;0
2294.188;50;0.2500;89061;19.745;0;124;-26;1;0
2294.288;50;0.2500;90492;20.062;-1;125;-26;1;0
2294.388;51;0.2550;91785;20.349;-1;125;-27;1;0
2294.488;52;0.2600;93390;20.705;-1;125;-27;1;0
2294.588;52;0.2600;94943;21.049;-1;125;-26;1;0
2294.688;53;0.2650;96759;21.451;-1;124;-27;1;0
2294.788;54;0.2700;98402;21.816;-1;125;-28;1;0
2294.888;54;0.2700;101277;22.453;-1;125;-26;1;0
2294.988;55;0.2750;103392;22.922;-1;124;-26;1;0
2295.088;56;0.2800;104780;23.230;-2;124;-26;1;0
2295.188;56;0.2800;104637;23.198;-1;125;-26;1;0
2295.288;57;0.2850;108826;24.127;-1;126;-28;1;0
2295.388;58;0.2900;111654;24.754;-1;124;-26;1;0
2295.488;58;0.2900;113472;25.157;-1;125;-26;1;0
2295.588;59;0.2950;113983;25.270;-1;125;-27;1;0
2295.688;60;0.3000;115914;25.698;-2;125;-26;1;0
2295.788;60;0.3000;119385;26.468;-1;125;-26;1;0
2295.888;61;0.3050;119058;26.395;-1;124;-26;1;0
2295.988;62;0.3100;118365;26.242;-1;125;-26;1;0
2296.088;62;0.3100;122734;27.210;0;124;-26;1;0
2296.188;63;0.3150;124870;27.684;-1;125;-26;1;0
2296.288;64;0.3200;126102;27.957;-1;125;-26;1;0
2296.388;64;0.3200;127963;28.369;-1;125;-27;1;0
2296.488;65;0.3250;129806;28.778;-2;125;-27;1;0
2296.588;66;0.3300;132541;29.384;-1;125;-26;1;0
2296.688;66;0.3300;135129;29.958;-2;125;-26;1;0
2296.788;67;0.3350;135853;30.119;-1;124;-27;1;0
2296.888;68;0.3400;138922;30.799;-1;125;-26;1;0
2296.988;68;0.3400;140372;31.120;-1;125;-27;1;0
2297.088;69;0.3450;141326;31.332;-1;124;-26;1;0
2297.188;70;0.3500;143609;31.838;-1;125;-26;1;0
2297.288;70;0.3500;145565;32.272;-1;124;-26;1;0
2297.388;71;0.3550;148728;32.973;-2;125;-26;1;0
2297.488;72;0.3600;151909;33.678;-1;125;-26;1;0
2297.588;72;0.3600;152864;33.890;-1;125;-26;1;0
2297.688;73;0.3650;153355;33.999;-1;124;-28;1;0
2297.788;74;0.3700;155107;34.387;-1;125;-26;1;0
2297.888;74;0.3700;158633;35.169;-1;124;-27;1;0
2297.988;75;0.3750;161880;35.889;-1;125;-27;1;0
2298.088;76;0.3800;163196;36.181;-1;124;-26;1;0
2298.188;76;0.3800;164140;36.390;-1;125;-26;1;0
2298.288;77;0.3850;165382;36.665;-2;125;-26;1;0
2298.388;78;0.3900;167050;37.035;-1;124;-26;1;0
2298.488;78;0.3900;172987;38.351;-1;125;-27;1;0
2298.588;79;0.3950;175561;38.922;-1;124;-25;1;0
2298.688;80;0.4000;177413;39.332;-1;125;-26;1;0
2298.788;80;0.4000;178966;39.677;-1;124;-26;1;0
2298.888;81;0.4050;179663;39.831;0;125;-26;1;0
2298.988;82;0.4100;180033;39.913;-2;125;-26;1;0
2299.088;82;0.4100;182079;40.367;-1;125;-26;1;0
2299.188;83;0.4150;183497;40.681;-2;125;-26;1;0
2299.288;84;0.4200;187598;41.590;0;124;-26;1;0
2299.388;84;0.4200;190656;42.268;-1;124;-26;1;0
2299.488;85;0.4250;192505;42.678;-1;125;-27;1;0
2299.588;86;0.4300;192674;42.716;-1;125;-27;1;0
2299.688;86;0.4300;196128;43.482;-1;125;-25;1;0
2299.788;87;0.4350;199006;44.120;0;125;-26;1;0
2299.888;88;0.4400;202322;44.855;-1;124;-26;1;0
2299.988;88;0.4400;205329;45.521;-2;125;-25;1;0
2300.088;89;0.4450;206325;45.742;-1;125;-26;1;0
2300.188;90;0.4500;208751;46.280;-1;125;-27;1;0
2300.288;90;0.4500;211144;46.811;0;124;-26;1;0
2300.388;91;0.4550;214943;47.653;-1;124;-25;1;0
2300.488;92;0.4600;216967;48.102;-1;125;-26;1;0
2300.588;92;0.4600;218069;48.346;-1;125;-28;1;0
2300.688;93;0.4650;219878;48.747;-1;124;-27;1;0
2300.788;94;0.4700;220383;48.859;-1;125;-26;1;0
2300.888;94;0.4700;225338;49.957;-1;124;-26;1;0
2300.988;95;0.4750;227405;50.416;-1;125;-26;1;0
2301.088;96;0.4800;229203;50.814;-1;125;-26;1;0
2301.188;96;0.4800;231637;51.354;-2;125;-26;1;0
2301.288;97;0.4850;233090;51.676;-1;125;-26;1;0
2301.388;98;0.4900;234107;51.902;-1;125;-27;1;0
2301.488;98;0.4900;238204;52.810;-1;125;-26;1;0
2301.588;99;0.4950;240287;53.272;-1;126;-27;1;0
2301.688;100;0.5000;243803;54.051;-1;124;-26;1;0
2301.788;100;0.5000;245492;54.426;-1;124;-26;1;0
