time_s;steps;displacement_mm;force_raw;force_N;accel_x;accel_y;accel_z;endstop;step_loss
21436.976;1;0.0050;-2198;-0.487;403;-1;123;1;0
21437.076;3;0.0150;-1607;-0.356;-2;126;-24;1;0
21437.176;6;0.0300;-1435;-0.318;-2;124;-22;1;0
21437.276;8;0.0400;-943;-0.209;-2;125;-23;1;0
21437.376;11;0.0550;1370;0.304;-2;125;-23;1;0
21437.476;14;0.0700;3852;0.854;-1;125;-23;1;0
21437.576;16;0.0800;4474;0.992;-1;125;-22;1;0
21437.676;19;0.0950;4230;0.938;-2;126;-22;1;0
21437.776;22;0.1100;6816;1.511;-2;125;-22;1;0
21437.876;24;0.1200;8247;1.828;-2;125;-22;1;0
21437.976;27;0.1350;8444;1.872;-1;125;-23;1;0
21438.076;30;0.1500;9600;2.128;-2;125;-23;1;0
21438.176;32;0.1600;11397;2.527;-1;125;-22;1;0
21438.276;35;0.1750;13996;3.103;-1;125;-22;1;0
21438.376;38;0.1900;15765;3.495;-2;125;-22;1;0
21438.476;40;0.2000;16389;3.633;-1;126;-22;1;0
21438.576;43;0.2150;18775;4.162;-1;126;-23;1;0
21438.676;46;0.2300;21100;4.678;0;125;-22;1;0
21438.776;48;0.2400;24544;5.441;-1;125;-22;1;0
21438.876;51;0.2550;27222;6.035;-2;125;-23;1;0
21438.976;54;0.2700;30490;6.760;-1;125;-22;1;0
21439.076;56;0.2800;34242;7.591;0;125;-22;1;0
21439.176;59;0.2950;43171;9.571;-2;125;-22;1;0
21439.276;62;0.3100;47654;10.565;-2;125;-23;1;0
21439.376;64;0.3200;52637;11.670;-1;125;-23;1;0
21439.476;67;0.3350;58699;13.014;-1;125;-22;1;0
21439.576;70;0.3500;65159;14.446;-1;124;-22;1;0
21439.676;72;0.3600;72195;16.006;-1;125;-23;1;0
21439.776;75;0.3750;78680;17.443;0;125;-23;1;0
21439.876;78;0.3900;86687;19.219;-1;125;-22;1;0
21439.976;80;0.4000;101552;22.514;-2;125;-22;1;0
21440.076;83;0.4150;110892;24.585;-1;125;-22;1;0
21440.176;86;0.4300;119448;26.482;0;124;-23;1;0
21440.276;88;0.4400;128606;28.512;-2;125;-22;1;0
21440.376;91;0.4550;137754;30.540;-1;125;-21;1;0
21440.476;94;0.4700;146805;32.547;-1;124;-23;1;0
21440.576;96;0.4800;154812;34.322;-1;125;-22;1;0
21440.676;99;0.4950;164080;36.377;-2;125;-23;1;0
21440.776;102;0.5100;183186;40.612;-1;124;-21;1;0
21440.876;104;0.5200;191929;42.551;-1;125;-22;1;0
21440.976;107;0.5350;202765;44.953;-1;125;-23;1;0
21441.076;110;0.5500;214268;47.503;-1;125;-23;1;0
21441.176;112;0.5600;225037;49.891;-1;125;-21;1;0
21441.276;115;0.5750;235391;52.186;-1;125;-23;1;0
21441.376;118;0.5900;247513;54.874;-1;125;-23;1;0
21441.476;120;0.6000;260204;57.687;0;124;-21;1;0
21441.576;123;0.6150;284993;63.183;-2;125;-21;1;0
21441.676;126;0.6300;296942;65.832;0;124;-22;1;0
21441.776;128;0.6400;310292;68.792;-1;126;-23;1;0
21441.876;131;0.6550;323284;71.672;-1;125;-22;1;0
21441.976;134;0.6700;336442;74.589;-1;125;-22;1;0
21442.076;136;0.6800;349757;77.541;-1;125;-23;1;0
21442.176;139;0.6950;362677;80.405;-1;125;-21;1;0
21442.276;142;0.7100;376386;83.445;-3;125;-22;1;0
21442.376;144;0.7200;403982;89.563;-1;125;-23;1;0
21442.476;147;0.7350;418855;92.860;-1;126;-23;1;0
21442.576;150;0.7500;433152;96.030;0;126;-23;1;0
21442.676;152;0.7600;446271;98.938;-1;125;-23;1;0
21442.776;155;0.7750;460609;102.117;-1;124;-22;1;0
21442.876;158;0.7900;475393;105.395;-1;125;-22;1;0
21442.976;160;0.8000;490730;108.795;-1;124;-22;1;0
21443.076;163;0.8150;505413;112.050;-2;126;-21;1;0
21443.176;166;0.8300;532589;118.075;-1;125;-23;1;0
21443.276;168;0.8400;546557;121.172;-2;124;-22;1;0
21443.376;171;0.8550;561147;124.406;-2;125;-23;1;0
21443.476;174;0.8700;574566;127.381;-1;125;-23;1;0
21443.576;176;0.8800;587818;130.319;-1;124;-23;1;0
21443.676;179;0.8950;601703;133.398;-1;125;-22;1;0
21443.776;182;0.9100;614250;136.179;-2;125;-21;1;0
21443.876;184;0.9200;626242;138.838;-1;125;-22;1;0
21443.976;187;0.9350;650385;144.190;-1;125;-22;1;0
21444.076;190;0.9500;662902;146.965;0;126;-23;1;0
21444.176;192;0.9600;675712;149.805;-1;125;-22;1;0
21444.276;195;0.9750;689746;152.917;-1;125;-22;1;0
21444.376;198;0.9900;703949;156.065;-2;125;-22;1;0
21444.476;200;1.0000;717403;159.048;-1;125;-22;1;0
21444.576;203;1.0150;732252;162.340;-1;125;-22;1;0
21444.676;206;1.0300;747076;165.627;-1;124;-23;1;0
21444.776;208;1.0400;775076;171.834;0;126;-22;1;0
21444.876;211;1.0550;788364;174.780;-1;125;-22;1;0
21444.976;214;1.0700;802310;177.872;-2;125;-23;1;0
21445.076;216;1.0800;816142;180.939;-1;124;-23;1;0
21445.176;219;1.0950;830204;184.056;-1;125;-22;1;0
21445.276;222;1.1100;844613;187.251;-2;125;-21;1;0
21445.376;224;1.1200;858000;190.219;-1;126;-22;1;0
21445.476;227;1.1350;872822;193.505;-1;124;-22;1;0
21445.576;230;1.1500;900563;199.655;-1;125;-23;1;0
21445.676;232;1.1600;915445;202.954;-1;125;-22;1;0
21445.776;235;1.1750;931195;206.446;-1;125;-22;1;0
21445.876;238;1.1900;946299;209.794;-2;125;-22;1;0
21445.976;240;1.2000;961294;213.119;-1;124;-22;1;0
21446.076;243;1.2150;976096;216.400;-2;125;-22;1;0
21446.176;246;1.2300;992254;219.983;-1;125;-22;1;0
