time_s;steps;displacement_mm;force_raw;force_N;accel_x;accel_y;accel_z;endstop;step_loss
310.269;1;0.0050;-1140;-0.253;0;124;-22;1;0
310.369;2;0.0100;-630;-0.140;-2;124;-22;1;0
310.469;4;0.0200;-398;-0.088;-1;124;-23;1;0
310.569;5;0.0250;-522;-0.116;0;124;-23;1;0
310.669;7;0.0350;1330;0.295;-2;124;-23;1;0
310.769;9;0.0450;2643;0.586;-3;125;-25;1;0
310.870;10;0.0500;4043;0.896;-1;125;-25;1;0
310.970;12;0.0600;5729;1.270;-2;125;-25;1;0
311.070;14;0.0700;6996;1.551;-3;125;-23;1;0
311.170;15;0.0750;7726;1.713;-2;126;-27;1;0
311.270;17;0.0850;7968;1.767;-2;125;-25;1;0
311.370;19;0.0950;8067;1.788;-2;125;-24;1;0
311.470;20;0.1000;12177;2.700;-2;125;-22;1;0
311.570;22;0.1100;13073;2.898;-2;126;-23;1;0
311.670;24;0.1200;15966;3.540;-3;125;-23;1;0
311.770;25;0.1250;20507;4.546;-3;125;-23;1;0
311.870;27;0.1350;22510;4.990;-1;125;-23;1;0
311.970;29;0.1450;23425;5.193;-2;125;-24;1;0
312.070;30;0.1500;25599;5.675;-2;124;-22;1;0
312.170;32;0.1600;28729;6.369;-2;125;-23;1;0
312.270;34;0.1700;32576;7.222;-3;124;-22;1;0
312.370;35;0.1750;39476;8.752;-1;124;-22;1;0
312.470;37;0.1850;43723;9.693;-1;124;-24;1;0
312.570;39;0.1950;47314;10.490;-2;125;-24;1;0
312.670;40;0.2000;49706;11.020;-2;125;-22;1;0
312.770;42;0.2100;53642;11.892;-2;125;-23;1;0
312.870;44;0.2200;57930;12.843;-2;125;-22;1;0
312.970;45;0.2250;61486;13.631;-1;125;-22;1;0
313.070;47;0.2350;65413;14.502;-1;125;-25;1;0
313.170;49;0.2450;74066;16.420;-1;126;-24;1;0
313.270;50;0.2500;79312;17.583;-1;124;-23;1;0
313.370;52;0.2600;84455;18.724;-3;125;-24;1;0
313.470;54;0.2700;89295;19.797;-3;124;-22;1;0
313.570;55;0.2750;94494;20.949;-2;125;-23;1;0
313.670;57;0.2850;100281;22.232;-3;125;-24;1;0
313.771;59;0.2950;105370;23.361;-2;125;-23;1;0
313.871;60;0.3000;109681;24.316;-1;125;-23;1;0
313.971;62;0.3100;122070;27.063;-2;124;-22;1;0
314.071;64;0.3200;127950;28.367;-2;125;-22;1;0
314.171;65;0.3250;134824;29.890;-3;125;-23;1;0
314.271;67;0.3350;138825;30.778;-2;124;-23;1;0
314.371;69;0.3450;144509;32.038;-2;124;-21;1;0
314.471;70;0.3500;150233;33.307;-1;125;-24;1;0
314.571;72;0.3600;155634;34.504;-2;125;-23;1;0
314.671;74;0.3700;162397;36.003;-2;126;-25;1;0
314.771;75;0.3750;175303;38.865;-1;125;-23;1;0
314.871;77;0.3850;180038;39.914;-2;125;-23;1;0
314.971;79;0.3950;185230;41.065;-1;126;-26;1;0
315.071;80;0.4000;192042;42.576;-3;125;-23;1;0
315.171;82;0.4100;199484;44.226;-2;125;-22;1;0
315.271;84;0.4200;206112;45.695;-2;124;-21;1;0
315.371;85;0.4250;212275;47.061;-2;124;-21;1;0
315.471;87;0.4350;218309;48.399;-2;124;-22;1;0
315.571;89;0.4450;232578;51.563;-2;125;-23;1;0
315.671;90;0.4500;239111;53.011;-3;125;-23;1;0
315.771;92;0.4600;245139;54.347;-2;124;-22;1;0
315.871;94;0.4700;252507;55.981;-2;124;-22;1;0
315.971;95;0.4750;259663;57.567;-1;125;-24;1;0
316.071;97;0.4850;266436;59.069;-2;125;-24;1;0
316.171;99;0.4950;273401;60.613;-2;125;-24;1;0
316.271;100;0.5000;280263;62.134;-1;125;-24;1;0
316.371;102;0.5100;293069;64.973;-2;125;-22;1;0
316.471;104;0.5200;299952;66.499;-2;124;-23;1;0
316.571;105;0.5250;308119;68.310;0;124;-21;1;0
316.672;107;0.5350;315599;69.968;-1;125;-23;1;0
316.772;109;0.5450;323988;71.828;-2;124;-23;1;0
316.872;110;0.5500;329961;73.152;-3;125;-22;1;0
316.972;112;0.5600;336608;74.626;-2;125;-25;1;0
317.072;114;0.5700;344193;76.308;-4;125;-21;1;0
317.172;115;0.5750;357161;79.183;-2;125;-24;1;0
317.272;117;0.5850;365687;81.073;-2;125;-25;1;0
317.372;119;0.5950;372816;82.653;-1;125;-25;1;0
317.472;120;0.6000;380894;84.444;-2;126;-23;1;0
317.572;122;0.6100;389695;86.395;-2;124;-22;1;0
317.672;124;0.6200;396343;87.869;-1;125;-23;1;0
317.772;125;0.6250;404088;89.586;-2;125;-24;1;0
317.872;127;0.6350;410060;90.910;-3;124;-23;1;0
317.972;129;0.6450;424267;94.060;-2;125;-25;1;0
318.072;130;0.6500;432246;95.829;-2;125;-24;1;0
318.172;132;0.6600;439640;97.468;-1;125;-23;1;0
318.272;134;0.6700;446470;98.982;-2;126;-24;1;0
318.372;135;0.6750;453009;100.432;-1;125;-25;1;0
318.472;137;0.6850;460516;102.096;-1;124;-22;1;0
318.572;139;0.6950;468658;103.901;-1;125;-24;1;0
318.672;140;0.7000;474996;105.307;-2;126;-24;1;0
318.772;142;0.7100;486990;107.966;-2;126;-26;1;0
318.872;144;0.7200;493156;109.333;-1;125;-23;1;0
318.972;145;0.7250;499241;110.682;-1;125;-23;1;0
319.072;147;0.7350;506047;112.191;-2;126;-24;1;0
319.172;149;0.7450;514050;113.965;-2;125;-24;1;0
319.272;150;0.7500;519029;115.069;-2;124;-21;1;0
319.372;152;0.7600;524393;116.258;-2;125;-22;1;0
319.472;154;0.7700;534686;118.540;-1;126;-23;1;0
319.572;155;0.7750;550311;122.004;-2;124;-21;1;0
319.672;157;0.7850;558129;123.737;-2;125;-22;1;0
319.772;159;0.7950;563482;124.924;-2;125;-23;1;0
319.872;160;0.8000;571905;126.791;-1;124;-22;1;0
319.972;162;0.8100;581721;128.968;-2;126;-25;1;0
320.072;164;0.8200;588153;130.394;-2;125;-23;1;0
320.172;165;0.8250;595994;132.132;-1;125;-23;1;0
320.272;167;0.8350;602343;133.539;-2;125;-22;1;0
320.372;169;0.8450;608988;135.013;-1;124;-23;1;0
320.472;170;0.8500;624906;138.542;-2;126;-25;1;0
320.572;172;0.8600;632098;140.136;-1;125;-24;1;0
320.672;174;0.8700;638873;141.638;-1;124;-23;1;0
320.772;175;0.8750;644928;142.981;-1;126;-24;1;0
320.872;177;0.8850;653774;144.942;-3;124;-20;1;0
320.972;179;0.8950;660930;146.528;-2;125;-22;1;0
321.072;180;0.9000;666074;147.669;-1;126;-26;1;0
321.172;182;0.9100;674863;149.617;0;125;-26;1;0
321.272;184;0.9200;687945;152.517;-1;125;-25;1;0
321.372;185;0.9250;695679;154.232;-2;124;-23;1;0
321.472;187;0.9350;702055;155.646;-2;126;-25;1;0
321.572;189;0.9450;710657;157.553;-2;123;-21;1;0
321.672;190;0.9500;718407;159.271;-3;125;-24;1;0
321.772;192;0.9600;724948;160.721;-1;126;-25;1;0
321.872;194;0.9700;732370;162.366;-1;125;-24;1;0
321.972;195;0.9750;740678;164.208;-2;125;-23;1;0
322.072;197;0.9850;754565;167.287;-2;125;-23;1;0
322.172;199;0.9950;760230;168.543;-3;125;-22;1;0
322.272;200;1.0000;766824;170.005;-2;125;-23;1;0
322.372;202;1.0100;774771;171.767;-2;124;-24;1;0
322.472;204;1.0200;780834;173.111;-1;124;-22;1;0
322.572;205;1.0250;787233;174.530;-3;125;-25;1;0
322.672;207;1.0350;792996;175.807;-1;125;-24;1;0
322.772;209;1.0450;798695;177.071;-3;124;-23;1;0
322.872;210;1.0500;812864;180.212;-2;125;-24;1;0
322.972;212;1.0600;818854;181.540;-1;125;-24;1;0
323.072;214;1.0700;824520;182.796;-2;124;-24;1;0
323.172;215;1.0750;829539;183.909;-3;126;-25;1;0
323.272;217;1.0850;838102;185.807;-2;125;-23;1;0
323.372;219;1.0950;843421;186.986;-3;125;-23;1;0
323.472;220;1.1000;848476;188.107;0;124;-24;1;0
323.572;222;1.1100;855537;189.673;-2;125;-24;1;0
323.672;224;1.1200;865481;191.877;-1;126;-27;1;0
323.772;225;1.1250;871158;193.136;-2;124;-24;1;0
323.872;227;1.1350;876649;194.353;-1;125;-24;1;0
323.972;229;1.1450;882249;195.595;-2;125;-23;1;0
324.072;230;1.1500;887427;196.743;-1;124;-23;1;0
324.172;232;1.1600;893428;198.073;-3;124;-24;1;0
324.272;234;1.1700;900839;199.716;-1;124;-25;1;0
324.372;235;1.1750;905160;200.674;-1;125;-25;1;0
324.472;237;1.1850;915866;203.047;-2;125;-24;1;0
324.572;239;1.1950;921105;204.209;-2;125;-23;1;0
324.672;240;1.2000;925314;205.142;-3;126;-24;1;0
324.772;242;1.2100;929179;205.999;-2;123;-22;1;0
324.872;244;1.2200;934052;207.079;-2;124;-24;1;0
324.972;245;1.2250;940183;208.439;-2;126;-26;1;0
325.072;247;1.2350;944500;209.396;-2;125;-24;1;0
325.172;249;1.2450;946705;209.884;-4;125;-23;1;0
325.272;250;1.2500;957263;212.225;-2;123;-22;1;0
325.372;252;1.2600;961573;213.181;-3;125;-23;1;0
325.472;254;1.2700;966656;214.308;-3;124;-23;1;0
325.572;255;1.2750;969756;214.995;-2;125;-25;1;0
325.672;257;1.2850;973165;215.751;-1;125;-23;1;0
325.772;259;1.2950;977976;216.817;-3;125;-24;1;0
325.872;260;1.3000;980684;217.418;-2;125;-23;1;0
325.972;262;1.3100;984524;218.269;-3;125;-22;1;0
326.072;264;1.3200;989405;219.351;-1;125;-23;1;0
326.172;265;1.3250;994934;220.577;-3;125;-22;1;0
326.272;267;1.3350;996820;220.995;-2;125;-22;1;0
326.372;269;1.3450;999484;221.586;-3;124;-22;1;0
326.472;270;1.3500;1002253;222.199;-2;125;-22;1;0
326.572;272;1.3600;1004937;222.795;-3;124;-20;1;0
326.672;274;1.3700;1008489;223.582;-2;126;-25;1;0
326.772;275;1.3750;1010681;224.068;-2;124;-23;1;0
326.872;277;1.3850;1014822;224.986;-1;125;-26;1;0
326.972;279;1.3950;1018722;225.851;-2;126;-25;1;0
327.072;280;1.4000;1022336;226.652;-1;125;-22;1;0
327.172;282;1.4100;1025578;227.371;-2;125;-21;1;0
327.272;284;1.4200;1027265;227.745;-1;125;-25;1;0
327.372;285;1.4250;1029680;228.280;-2;124;-21;1;0
327.472;287;1.4350;1031252;228.629;-1;124;-24;1;0
327.572;289;1.4450;1032945;229.004;-1;125;-24;1;0
327.672;290;1.4500;1036767;229.851;-1;124;-23;1;0
327.772;292;1.4600;1040622;230.706;-3;126;-23;1;0
327.872;294;1.4700;1042316;231.081;-2;124;-22;1;0
327.972;295;1.4750;1043273;231.294;-2;125;-24;1;0
328.072;297;1.4850;1045857;231.866;-1;124;-26;1;0
328.172;299;1.4950;1046742;232.063;0;125;-25;1;0
328.272;300;1.5000;1047242;232.174;-2;125;-24;1;0
328.372;302;1.5100;1048303;232.409;-2;125;-22;1;0
328.472;304;1.5200;1048035;232.349;-2;125;-24;1;0
328.572;305;1.5250;1050967;232.999;-1;125;-22;1;0
328.672;307;1.5350;1050304;232.852;-2;125;-24;1;0
328.772;309;1.5450;1050184;232.826;-1;126;-26;1;0
328.872;310;1.5500;1051230;233.058;-3;125;-22;1;0
328.972;312;1.5600;1051820;233.188;-2;124;-21;1;0
329.072;314;1.5700;1051719;233.166;-2;125;-24;1;0
329.172;315;1.5750;1050818;232.966;-2;124;-22;1;0
329.272;317;1.5850;1049357;232.642;-1;125;-26;1;0
329.372;319;1.5950;1049614;232.699;-2;126;-25;1;0
329.472;320;1.6000;1050080;232.803;-2;124;-22;1;0
329.572;322;1.6100;1049558;232.687;-1;124;-23;1;0
329.672;324;1.6200;1048840;232.528;-1;126;-24;1;0
329.772;325;1.6250;1048515;232.456;-1;125;-23;1;0
329.872;327;1.6350;1047452;232.220;-1;125;-24;1;0
329.972;329;1.6450;1048245;232.396;-1;125;-22;1;0
330.072;330;1.6500;1049039;232.572;-1;124;-24;1;0
330.172;332;1.6600;1045111;231.701;0;125;-24;1;0
330.272;334;1.6700;1044357;231.534;-2;125;-23;1;0
330.372;335;1.6750;1043979;231.450;-2;126;-24;1;0
330.472;337;1.6850;1044661;231.601;-3;125;-25;1;0
330.572;339;1.6950;1042946;231.221;-2;124;-23;1;0
330.672;340;1.7000;1041405;230.879;-1;126;-23;1;0
330.772;342;1.7100;1041916;230.993;-1;125;-23;1;0
330.872;344;1.7200;1040622;230.706;-2;125;-23;1;0
330.972;345;1.7250;1039946;230.556;-3;124;-21;1;0
331.072;347;1.7350;1038411;230.216;-3;126;-24;1;0
331.172;349;1.7450;1036981;229.899;-2;124;-23;1;0
331.272;350;1.7500;1036028;229.687;-3;124;-21;1;0
331.372;352;1.7600;1033422;229.110;0;124;-22;1;0
331.472;354;1.7700;1033495;229.126;-2;126;-25;1;0
331.572;355;1.7750;1033901;229.216;-1;125;-23;1;0
331.672;357;1.7850;1032708;228.951;-2;125;-24;1;0
331.772;359;1.7950;1029032;228.136;-2;124;-24;1;0
331.872;360;1.8000;1028970;228.123;-2;125;-25;1;0
331.972;362;1.8100;1028536;228.026;-1;124;-21;1;0
332.072;364;1.8200;1026827;227.648;-1;125;-24;1;0
332.172;365;1.8250;1026838;227.650;-1;125;-22;1;0
332.272;367;1.8350;1025567;227.368;-2;124;-22;1;0
332.372;369;1.8450;1023861;226.990;-1;125;-23;1;0
332.472;370;1.8500;1025198;227.286;-1;126;-25;1;0
332.572;372;1.8600;1021796;226.532;-2;126;-24;1;0
332.672;374;1.8700;1021638;226.497;-2;125;-24;1;0
332.772;375;1.8750;1019750;226.079;0;124;-23;1;0
332.872;377;1.8850;1020248;226.189;-2;126;-25;1;0
332.972;379;1.8950;1018608;225.825;-2;125;-23;1;0
333.072;380;1.9000;1015092;225.046;-1;125;-25;1;0
333.172;382;1.9100;1014624;224.942;-1;125;-25;1;0
333.272;384;1.9200;1012739;224.524;-2;124;-24;1;0
333.372;385;1.9250;1009448;223.795;-3;125;-24;1;0
333.472;387;1.9350;1007235;223.304;-2;125;-23;1;0
333.572;389;1.9450;1007762;223.421;-1;124;-22;1;0
333.672;390;1.9500;1006700;223.185;-1;125;-25;1;0
333.772;392;1.9600;1005044;222.818;-1;125;-25;1;0
333.872;394;1.9700;1006067;223.045;-2;126;-24;1;0
333.972;395;1.9750;1006877;223.225;-1;126;-24;1;0
334.072;397;1.9850;1006610;223.165;-3;125;-23;1;0
334.172;399;1.9950;1005635;222.949;-2;126;-25;1;0
334.272;400;2.0000;1004025;222.592;-1;124;-23;1;0
334.372;402;2.0100;1003732;222.527;-3;124;-23;1;0
334.472;404;2.0200;1003031;222.372;-1;125;-23;1;0
334.572;405;2.0250;1003208;222.411;-1;125;-23;1;0
334.672;407;2.0350;1001937;222.129;-2;125;-22;1;0
334.772;409;2.0450;1000769;221.870;-2;125;-25;1;0
334.872;410;2.0500;1001771;222.093;-1;125;-24;1;0
334.972;412;2.0600;1001067;221.937;-1;125;-25;1;0
335.072;414;2.0700;998133;221.286;0;124;-24;1;0
335.172;415;2.0750;996834;220.998;-2;125;-24;1;0
335.272;417;2.0850;998221;221.306;-2;124;-23;1;0
335.372;419;2.0950;997338;221.110;-2;125;-22;1;0
335.472;420;2.1000;995248;220.646;-2;124;-23;1;0
335.572;422;2.1100;994805;220.548;-2;125;-25;1;0
335.672;424;2.1200;993278;220.210;-2;124;-22;1;0
335.772;425;2.1250;992289;219.990;-1;124;-22;1;0
335.872;427;2.1350;992142;219.958;-3;125;-23;1;0
335.972;429;2.1450;991609;219.840;-1;124;-24;1;0
336.072;430;2.1500;990461;219.585;-1;125;-24;1;0
336.172;432;2.1600;989041;219.270;0;125;-25;1;0
336.272;434;2.1700;989736;219.424;-2;124;-22;1;0
336.372;435;2.1750;987727;218.979;-2;124;-23;1;0
336.472;437;2.1850;988406;219.130;-4;126;-23;1;0
336.572;439;2.1950;987218;218.866;-2;126;-23;1;0
336.672;440;2.2000;986238;218.649;-1;126;-22;1;0
336.772;442;2.2100;985049;218.385;-2;124;-25;1;0
336.872;444;2.2200;983090;217.951;-1;125;-25;1;0
336.972;445;2.2250;983452;218.031;-3;125;-24;1;0
337.072;447;2.2350;982182;217.750;-2;126;-23;1;0
337.172;449;2.2450;981472;217.592;-4;125;-21;1;0
337.272;450;2.2500;981991;217.707;-2;125;-23;1;0
337.372;452;2.2600;980746;217.431;-2;125;-23;1;0
337.472;454;2.2700;979909;217.246;-2;124;-22;1;0
337.572;455;2.2750;978868;217.015;-3;126;-26;1;0
337.672;457;2.2850;978426;216.917;-2;126;-24;1;0
337.772;459;2.2950;978858;217.013;-3;125;-22;1;0
337.872;460;2.3000;978411;216.914;-1;124;-22;1;0
337.972;462;2.3100;977194;216.644;-2;124;-23;1;0
338.072;464;2.3200;976003;216.380;-1;125;-25;1;0
338.172;465;2.3250;976751;216.546;-1;124;-24;1;0
338.272;467;2.3350;974543;216.056;-1;124;-23;1;0
338.372;469;2.3450;974924;216.141;-2;126;-24;1;0
338.472;470;2.3500;972584;215.622;-1;124;-22;1;0
338.572;472;2.3600;971519;215.386;-1;124;-23;1;0
338.672;474;2.3700;972299;215.559;-2;125;-25;1;0
338.772;475;2.3750;971268;215.330;-2;125;-23;1;0
338.872;477;2.3850;971188;215.312;-3;125;-24;1;0
338.972;479;2.3950;971132;215.300;-2;124;-22;1;0
339.072;480;2.4000;969644;214.970;-3;126;-24;1;0
339.172;482;2.4100;970029;215.055;-1;124;-22;1;0
339.272;484;2.4200;970661;215.196;-2;124;-22;1;0
339.372;485;2.4250;970678;215.199;0;124;-23;1;0
339.472;487;2.4350;969522;214.943;-1;125;-25;1;0
339.572;489;2.4450;970320;215.120;-2;125;-23;1;0
339.672;490;2.4500;971103;215.294;-3;125;-24;1;0
339.772;492;2.4600;970449;215.149;-2;125;-22;1;0
339.872;494;2.4700;968353;214.684;-2;125;-25;1;0
339.972;495;2.4750;967288;214.448;-1;125;-25;1;0
340.072;497;2.4850;968793;214.781;-2;123;-22;1;0
340.172;499;2.4950;968109;214.630;-2;124;-23;1;0
340.272;500;2.5000;967077;214.401;-1;125;-24;1;0
340.372;502;2.5100;966733;214.325;-3;125;-22;1;0
340.472;504;2.5200;964461;213.821;-1;126;-23;1;0
340.572;505;2.5250;964152;213.752;-3;125;-23;1;0
340.672;507;2.5350;961537;213.173;0;125;-25;1;0
340.772;509;2.5450;960199;212.876;0;124;-24;1;0
340.872;510;2.5500;958909;212.590;-1;126;-25;1;0
340.972;512;2.5600;958772;212.560;-2;125;-22;1;0
341.072;514;2.5700;959801;212.788;-1;125;-25;1;0
341.172;515;2.5750;957674;212.316;-1;125;-23;1;0
341.272;517;2.5850;957465;212.270;-2;123;-24;1;0
341.372;519;2.5950;957301;212.234;-2;125;-24;1;0
341.472;520;2.6000;955173;211.762;-2;125;-22;1;0
341.572;522;2.6100;952475;211.164;-2;124;-24;1;0
341.672;524;2.6200;950966;210.829;-2;125;-23;1;0
341.772;525;2.6250;950437;210.712;-3;125;-23;1;0
341.872;527;2.6350;948463;210.274;1;124;-24;1;0
341.972;529;2.6450;948355;210.250;0;126;-27;1;0
342.072;530;2.6500;949907;210.594;-2;125;-22;1;0
342.172;532;2.6600;948644;210.314;-2;125;-23;1;0
342.272;534;2.6700;947763;210.119;-2;125;-23;1;0
342.372;535;2.6750;946994;209.949;-2;125;-22;1;0
342.472;537;2.6850;947793;210.126;-1;124;-25;1;0
342.572;539;2.6950;948440;210.269;-2;125;-23;1;0
342.672;540;2.7000;948971;210.387;-2;125;-23;1;0
342.772;542;2.7100;949679;210.544;-3;125;-21;1;0
342.872;544;2.7200;948891;210.369;-1;125;-24;1;0
342.972;545;2.7250;948861;210.362;-1;124;-23;1;0
343.072;547;2.7350;948214;210.219;0;124;-23;1;0
343.172;549;2.7450;948381;210.256;-1;125;-24;1;0
343.272;550;2.7500;946291;209.793;-2;124;-23;1;0
343.372;552;2.7600;945506;209.619;-2;124;-20;1;0
343.472;554;2.7700;947240;210.003;-3;125;-24;1;0
343.572;555;2.7750;946726;209.889;-1;125;-23;1;0
343.672;557;2.7850;946876;209.922;0;124;-22;1;0
343.772;559;2.7950;945902;209.706;-2;126;-26;1;0
343.872;560;2.8000;944431;209.380;-1;126;-24;1;0
343.972;562;2.8100;945477;209.612;-1;125;-24;1;0
344.072;564;2.8200;943489;209.172;-2;125;-23;1;0
344.172;565;2.8250;944165;209.321;-1;124;-23;1;0
344.272;567;2.8350;944109;209.309;-3;126;-26;1;0
344.372;569;2.8450;943264;209.122;-1;125;-23;1;0
344.472;570;2.8500;943973;209.279;-1;124;-23;1;0
344.572;572;2.8600;943580;209.192;-2;124;-23;1;0
344.672;574;2.8700;942360;208.921;-1;125;-26;1;0
344.772;575;2.8750;941096;208.641;-2;125;-23;1;0
344.872;577;2.8850;941772;208.791;-2;125;-25;1;0
344.972;579;2.8950;941749;208.786;-2;125;-22;1;0
345.072;580;2.9000;942795;209.018;-1;125;-24;1;0
345.172;582;2.9100;942130;208.870;-2;124;-23;1;0
345.272;584;2.9200;940040;208.407;-1;125;-24;1;0
345.372;585;2.9250;939382;208.261;-2;124;-20;1;0
345.472;587;2.9350;940534;208.516;-1;125;-23;1;0
345.572;589;2.9450;938890;208.152;-2;124;-21;1;0
345.672;590;2.9500;936991;207.731;-2;125;-23;1;0
345.772;592;2.9600;937092;207.753;-2;124;-22;1;0
345.872;594;2.9700;938932;208.161;-3;124;-23;1;0
345.972;595;2.9750;937124;207.760;-2;124;-23;1;0
346.072;597;2.9850;936260;207.569;-2;125;-23;1;0
346.172;599;2.9950;936650;207.655;-1;125;-23;1;0
346.272;600;3.0000;937205;207.778;-1;125;-23;1;0
346.372;602;3.0100;938735;208.118;-2;124;-23;1;0
346.472;604;3.0200;937638;207.874;-1;124;-23;1;0
346.572;605;3.0250;937914;207.936;-1;125;-24;1;0
346.672;607;3.0350;936563;207.636;-2;126;-23;1;0
346.772;609;3.0450;937600;207.866;-1;124;-24;1;0
346.872;610;3.0500;938726;208.116;-1;125;-24;1;0
346.972;612;3.0600;937505;207.845;-1;125;-24;1;0
347.072;614;3.0700;936346;207.588;-1;124;-24;1;0
347.172;615;3.0750;934335;207.142;-3;126;-26;1;0
347.272;617;3.0850;936331;207.585;-2;125;-24;1;0
347.372;619;3.0950;935601;207.423;-1;124;-23;1;0
347.472;620;3.1000;933466;206.949;-2;127;-25;1;0
347.572;622;3.1100;933220;206.895;-2;125;-24;1;0
347.672;624;3.1200;933421;206.939;-2;124;-25;1;0
347.772;625;3.1250;933009;206.848;-2;123;-22;1;0
347.872;627;3.1350;933097;206.868;-3;126;-22;1;0
347.972;629;3.1450;933097;206.868;-1;124;-25;1;0
348.072;630;3.1500;929680;206.110;-3;126;-25;1;0
348.172;632;3.1600;930038;206.189;-2;126;-26;1;0
348.272;634;3.1700;931255;206.459;-2;124;-23;1;0
348.372;635;3.1750;929184;206.000;-2;125;-24;1;0
348.472;637;3.1850;926965;205.508;-2;123;-21;1;0
348.572;639;3.1950;927020;205.520;-2;125;-24;1;0
348.672;640;3.2000;926284;205.357;-1;125;-24;1;0
348.772;642;3.2100;925613;205.208;-3;124;-25;1;0
348.872;644;3.2200;920750;204.130;-1;125;-23;1;0
348.972;645;3.2250;919409;203.833;-3;125;-24;1;0
349.072;647;3.2350;919524;203.858;-1;124;-22;1;0
349.172;649;3.2450;919384;203.827;-3;125;-23;1;0
349.272;650;3.2500;918516;203.635;-1;125;-23;1;0
349.372;652;3.2600;918796;203.697;-1;125;-25;1;0
349.472;654;3.2700;919758;203.910;-1;124;-23;1;0
349.572;655;3.2750;919371;203.825;-2;125;-25;1;0
349.672;657;3.2850;920617;204.101;-2;124;-21;1;0
349.772;659;3.2950;920341;204.040;-3;126;-23;1;0
349.872;660;3.3000;921129;204.214;-2;125;-24;1;0
349.972;662;3.3100;920331;204.037;-2;125;-24;1;0
350.072;664;3.3200;919784;203.916;-3;125;-24;1;0
350.172;665;3.3250;921356;204.265;-3;126;-25;1;0
350.272;667;3.3350;922371;204.490;-2;125;-23;1;0
350.372;669;3.3450;923131;204.658;-4;126;-24;1;0
350.472;670;3.3500;922285;204.471;-1;124;-22;1;0
350.572;672;3.3600;921107;204.209;-2;125;-22;1;0
350.672;674;3.3700;923326;204.701;-2;125;-22;1;0
350.772;675;3.3750;921624;204.324;-1;125;-24;1;0
350.872;677;3.3850;920681;204.115;-1;126;-26;1;0
350.972;679;3.3950;921202;204.230;-3;125;-22;1;0
351.072;680;3.4000;920663;204.111;-2;124;-22;1;0
351.172;682;3.4100;921517;204.300;-2;125;-23;1;0
351.272;684;3.4200;919604;203.876;-2;126;-25;1;0
351.372;685;3.4250;919008;203.744;-2;124;-24;1;0
351.472;687;3.4350;919389;203.829;-1;124;-23;1;0
351.572;689;3.4450;920086;203.983;-3;125;-23;1;0
351.672;690;3.4500;920003;203.965;-2;125;-23;1;0
351.772;692;3.4600;918999;203.742;-2;124;-22;1;0
351.872;694;3.4700;918984;203.739;0;124;-22;1;0
