force_N;system_displacement_mm
0.0;0.0000
5.0;0.1329
10.0;0.6637
15.0;0.7113
20.0;0.7488
25.0;0.7783
30.0;0.8068
35.0;0.8309
40.0;0.8555
45.0;0.8742
50.0;0.8895
55.0;0.9037
60.0;0.9183
65.0;0.9322
70.0;0.9421
75.0;0.9558
80.0;0.9663
85.0;0.9781
90.0;0.9868
95.0;0.9983
100.0;1.0073
105.0;1.0175
110.0;1.0260
115.0;1.0361
120.0;1.0445
125.0;1.0526
130.0;1.0596
135.0;1.0685
140.0;1.0777
145.0;1.0838
150.0;1.0924
155.0;1.0993
160.0;1.1061
165.0;1.1145
170.0;1.1213
175.0;1.1282
180.0;1.1355
185.0;1.1426
190.0;1.1501
195.0;1.1577
200.0;1.1637
205.0;1.1724
210.0;1.1783
215.0;1.1846
220.0;1.1919
225.0;1.1994
230.0;1.2058
235.0;1.2128
240.0;1.2197
245.0;1.2251
250.0;1.2333
255.0;1.2393
260.0;1.2452
265.0;1.2533
270.0;1.2601
275.0;1.2662
280.0;1.2724
285.0;1.2795
290.0;1.2859
295.0;1.2935
300.0;1.2994
305.0;1.3049
310.0;1.3129
315.0;1.3187
320.0;1.3252
325.0;1.3333
330.0;1.3395
335.0;1.3455
340.0;1.3509
345.0;1.3584
350.0;1.3646
355.0;1.3715
360.0;1.3783
365.0;1.3830
370.0;1.3888
375.0;1.3982
380.0;1.4008
385.0;1.4083
390.0;1.4160
395.0;1.4202
400.0;1.4280
405.0;1.4332
410.0;1.4384
415.0;1.4451
420.0;1.4515
425.0;1.4580
430.0;1.4623
435.0;1.4682
440.0;1.4773
445.0;1.4811
450.0;1.4864
455.0;1.4926
460.0;1.4983
465.0;1.5051
470.0;1.5099
475.0;1.5174
480.0;1.5198
485.0;1.5278
490.0;1.5357
495.0;1.5384
500.0;1.5442
505.0;1.5502
510.0;1.5583
515.0;1.5640
520.0;1.5705
525.0;1.5783
530.0;1.5852
535.0;1.5913
540.0;1.5983
545.0;1.6049
550.0;1.6139
555.0;1.6183
560.0;1.6248
565.0;1.6315
570.0;1.6385
575.0;1.6451
580.0;1.6503
585.0;1.6583
590.0;1.6627
595.0;1.6687
600.0;1.6761
605.0;1.6796
610.0;1.6855
615.0;1.6939
620.0;1.6983
625.0;1.7031
630.0;1.7094
635.0;1.7173
640.0;1.7219
645.0;1.7280
650.0;1.7345
655.0;1.7395
660.0;1.7451
665.0;1.7508
670.0;1.7578
675.0;1.7619
680.0;1.7693
685.0;1.7766
690.0;1.7801
695.0;1.7860
700.0;1.7923
705.0;1.7997
710.0;1.8039
715.0;1.8106
720.0;1.8165
725.0;1.8212
730.0;1.8280
735.0;1.8350
740.0;1.8398
745.0;1.8439
750.0;1.8517
755.0;1.8593
760.0;1.8637
765.0;1.8699
770.0;1.8768
775.0;1.8824
780.0;1.8890
785.0;1.8938
790.0;1.9008
795.0;1.9056
800.0;1.9117
